,Unnamed: 0,Date,X_outlier,y_outlier
638,638,2019-01-27,27.5,0.0
639,639,2019-01-27,30.4,0.0
640,640,2019-01-27,24.5,0.0
641,641,2019-01-27,19.5,0.0
642,642,2019-01-27,20.5,0.0
643,643,2019-01-27,23.8,0.0
644,644,2019-01-27,24.3,0.0
645,645,2019-01-27,24.4,0.0
646,646,2019-01-27,32.7,0.0
647,647,2019-01-27,38.7,0.0
648,648,2019-01-28,38.7,0.0
649,649,2019-01-28,32.7,0.0
650,650,2019-01-28,28.3,0.0
651,651,2019-01-28,23.2,0.0
652,652,2019-01-28,21.0,0.0
653,653,2019-01-28,25.2,0.0
654,654,2019-01-28,30.4,0.0
655,655,2019-01-28,36.5,0.0
656,656,2019-01-28,62.3,0.0
657,657,2019-01-28,77.1,0.0
658,658,2019-01-28,70.0,0.0
659,659,2019-01-28,60.6,0.0
660,660,2019-01-28,47.3,0.0
661,661,2019-01-28,47.4,0.0
662,662,2019-01-28,43.2,0.0
663,663,2019-01-28,39.6,0.0
664,664,2019-01-28,30.2,0.0
665,665,2019-01-28,25.1,0.0
666,666,2019-01-28,23.7,0.0
667,667,2019-01-28,26.3,0.0
668,668,2019-01-28,23.0,0.0
669,669,2019-01-28,21.4,0.0
670,670,2019-01-28,31.9,0.0
671,671,2019-01-28,39.4,0.0
672,672,2019-01-29,43.3,0.0
673,673,2019-01-29,41.0,0.0
674,674,2019-01-29,32.4,0.0
675,675,2019-01-29,23.1,0.0
676,676,2019-01-29,22.7,0.0
677,677,2019-01-29,27.9,0.0
678,678,2019-01-29,33.1,0.0
679,679,2019-01-29,34.4,0.0
680,680,2019-01-29,38.0,0.0
681,681,2019-01-29,36.4,0.0
682,682,2019-01-29,31.4,0.0
683,683,2019-01-29,29.7,0.0
684,684,2019-01-29,23.9,0.0
685,685,2019-01-29,24.9,0.0
686,686,2019-01-29,30.4,0.0
687,687,2019-01-29,42.1,0.0
688,688,2019-01-29,38.8,0.0
689,689,2019-01-29,33.9,0.0
690,690,2019-01-29,32.3,0.0
691,691,2019-01-29,35.4,0.0
692,692,2019-01-29,41.7,0.0
693,693,2019-01-29,52.9,0.0
694,694,2019-01-29,76.9,0.0
695,695,2019-01-29,84.8,0.0
696,696,2019-01-30,80.2,0.0
697,697,2019-01-30,71.8,0.0
698,698,2019-01-30,63.7,0.0
699,699,2019-01-30,54.1,0.0
700,700,2019-01-30,51.1,0.0
701,701,2019-01-30,58.1,0.0
702,702,2019-01-30,61.4,0.0
703,703,2019-01-30,71.1,0.0
704,704,2019-01-30,66.1,0.0
705,705,2019-01-30,58.4,0.0
706,706,2019-01-30,48.7,0.0
707,707,2019-01-30,41.8,0.0
708,708,2019-01-30,33.4,0.0
709,709,2019-01-30,34.7,0.0
710,710,2019-01-30,36.0,0.0
711,711,2019-01-30,32.2,0.0
712,712,2019-01-30,29.3,0.0
713,713,2019-01-30,28.1,0.0
714,714,2019-01-30,24.0,0.0
715,715,2019-01-30,23.7,0.0
716,716,2019-01-30,23.1,0.0
717,717,2019-01-30,23.8,0.0
718,718,2019-01-30,24.7,0.0
719,719,2019-01-30,26.4,0.0
720,720,2019-01-31,30.1,0.0
721,721,2019-01-31,31.4,0.0
722,722,2019-01-31,30.0,0.0
723,723,2019-01-31,35.5,0.0
724,724,2019-01-31,48.6,0.0
725,725,2019-01-31,55.2,0.0
726,726,2019-01-31,57.8,0.0
